Feature,Importance
num__tenure,0.7089755313402905
num__MonthlyCharges,0.3325718521030221
cat__InternetService_Fiber optic,0.31014570593590873
cat__Contract_Month-to-month,0.28978297254962604
cat__InternetService_DSL,0.2745869965333807
cat__Contract_Two year,0.25751180573084786
cat__PaperlessBilling_No,0.15209694565399626
cat__MultipleLines_No,0.13956636721016827
cat__StreamingMovies_Yes,0.10233597772430501
cat__Dependents_Yes,0.1011813224890999
cat__OnlineSecurity_No internet service,0.09935411327253052
cat__StreamingTV_No internet service,0.09935411327253052
cat__TechSupport_No internet service,0.09935411327253052
cat__StreamingMovies_No internet service,0.09935411327253052
cat__DeviceProtection_No internet service,0.09935411327253052
cat__OnlineBackup_No internet service,0.09935411327253052
cat__InternetService_No,0.09935411327253052
cat__StreamingTV_Yes,0.09699195881433097
cat__StreamingMovies_No,0.0962821698583094
cat__PaymentMethod_Electronic check,0.09445064284735709
cat__StreamingTV_No,0.09381215081376183
cat__OnlineSecurity_No,0.08754067622964973
cat__TechSupport_No,0.07547287751183131
cat__PaymentMethod_Credit card (automatic),0.07335213936596816
cat__gender_Female,0.07084161076208906
cat__Partner_No,0.06677320134329383
cat__OnlineSecurity_Yes,0.0616912178536066
cat__MultipleLines_Yes,0.060263680455050594
cat__Partner_Yes,0.05978344177125547
cat__PaymentMethod_Bank transfer (automatic),0.05838195567782502
cat__gender_Male,0.05711706983463067
cat__TechSupport_Yes,0.04860727038088778
num__SeniorCitizen,0.040728338764126126
cat__Contract_One year,0.03938069282148279
cat__PaymentMethod_Mailed check,0.03029974102483813
cat__PhoneService_Yes,0.0288213017379193
cat__PaperlessBilling_Yes,0.02678028633859749
cat__OnlineBackup_No,0.02187198529751542
cat__PhoneService_No,0.01898635557616714
cat__MultipleLines_No phone service,0.01898635557616714
cat__DeviceProtection_Yes,0.016743264618885374
cat__OnlineBackup_Yes,0.010799167810139971
cat__DeviceProtection_No,0.009545841370327681
cat__TotalCharges_20.05,0.006015726548553178
cat__Dependents_No,0.005184160054306092
cat__TotalCharges_20.45,0.00452936040906201
cat__TotalCharges_144.15,0.0023014424188561684
cat__TotalCharges_19.9,0.0019378028053190842
cat__TotalCharges_3132.75,0.0015121171359144309
cat__TotalCharges_20.2,0.0014581476333194651
cat__TotalCharges_20.1,0.0008292395763619917
cat__TotalCharges_ ,0.0008229900604784625
cat__TotalCharges_19.45,0.0007273640571873322
cat__TotalCharges_19.95,0.0007223466641439031
cat__TotalCharges_69.9,0.0007204950737280586
cat__TotalCharges_75.3,0.0006189320507358112
cat__TotalCharges_45.1,0.0006055600650863683
cat__TotalCharges_49.9,0.0006030090127503641
cat__TotalCharges_1077.5,0.0005634693859470248
cat__TotalCharges_76.35,0.0005416888540159203
cat__TotalCharges_20.6,0.0005071544642683037
cat__TotalCharges_44,0.0005012770974497987
cat__TotalCharges_50.45,0.0004972196735616426
cat__TotalCharges_24.8,0.00046821936022011857
cat__TotalCharges_18.85,0.0004616201362098481
cat__TotalCharges_259.8,0.0004576844509996839
cat__TotalCharges_20.3,0.0004388499736815096
cat__TotalCharges_20.55,0.00040815551187818925
cat__TotalCharges_48.6,0.000407968837153476
cat__TotalCharges_69.6,0.00040550408879178577
cat__TotalCharges_184.4,0.00039346429708203866
cat__TotalCharges_70.25,0.00039198575373906115
cat__TotalCharges_1218.25,0.00039171704832148454
cat__TotalCharges_43.95,0.00038855609127649615
cat__TotalCharges_69.1,0.00038099220526474224
cat__TotalCharges_19.4,0.00037806997325610627
cat__TotalCharges_383.65,0.00037546809629030657
cat__TotalCharges_44.75,0.00037345902873648864
cat__TotalCharges_19.25,0.00036948208941778223
cat__TotalCharges_69.55,0.00036850075788322163
cat__TotalCharges_77.15,0.0003576055095987859
cat__TotalCharges_858.6,0.00035702996250942744
cat__TotalCharges_50.75,0.00035154425697250786
cat__TotalCharges_45.8,0.0003503231774380267
cat__TotalCharges_118.25,0.00034256187279428673
cat__TotalCharges_20.4,0.000341280453033229
cat__TotalCharges_906.85,0.00034093094208594244
cat__TotalCharges_19.65,0.0003387333441878663
cat__TotalCharges_70.6,0.000332107958271737
cat__TotalCharges_25.2,0.0003236053154378807
cat__TotalCharges_2180.55,0.00031411971277587626
cat__TotalCharges_151.3,0.0003019555385214534
cat__TotalCharges_238.5,0.00029284325931436283
cat__TotalCharges_220.45,0.00028634099842382674
cat__TotalCharges_529.5,0.00027738607615664985
cat__TotalCharges_49.8,0.000257408446793824
cat__TotalCharges_147.15,0.00025598636536576687
cat__TotalCharges_664.4,0.00024993357002617224
cat__TotalCharges_19.3,0.00024091180184470994
cat__TotalCharges_503.6,0.00024015619298675407
cat__TotalCharges_85,0.00023093548496769392
cat__TotalCharges_1130.85,0.0002265573136421241
cat__TotalCharges_45.4,0.00022451354688138856
cat__TotalCharges_70,0.00021727560029957433
cat__TotalCharges_78.65,0.0002137650529648871
cat__TotalCharges_143.65,0.00020507357588924263
cat__TotalCharges_355.1,0.00020423424515472342
cat__TotalCharges_434.5,0.0002026908583677363
cat__TotalCharges_3756.45,0.00018983531581460292
cat__TotalCharges_1410.25,0.0001821649545983221
cat__TotalCharges_69.5,0.00017805665712864396
cat__TotalCharges_1782.4,0.00017508740988952506
cat__TotalCharges_79.35,0.0001728982742672345
cat__TotalCharges_44.15,0.00017066127726719806
cat__TotalCharges_161.45,0.00016230755690585017
cat__TotalCharges_71.65,0.0001616606869839962
cat__TotalCharges_256.6,0.00016071994603750385
cat__TotalCharges_79.15,0.00015207730520674413
cat__TotalCharges_246.3,0.00014996841253935773
cat__TotalCharges_469.65,0.0001494691434508025
cat__TotalCharges_144.55,0.0001493802199211959
cat__TotalCharges_229.55,0.00014552696843241338
cat__TotalCharges_90.85,0.00014113239758221406
cat__TotalCharges_307.4,0.00013924157308880966
cat__TotalCharges_470.2,0.0001319254833844017
cat__TotalCharges_498.1,0.0001285557599979872
cat__TotalCharges_347.65,0.00011932382016882173
cat__TotalCharges_57.4,0.00011286589422438827
cat__TotalCharges_5731.85,0.0001080799517162446
cat__TotalCharges_70.45,0.00010711839822180632
cat__TotalCharges_264.8,0.00010469438648531251
cat__TotalCharges_45.85,0.00010345596326749086
cat__TotalCharges_69.25,9.067970733777377e-05
cat__TotalCharges_316.9,9.067578471467263e-05
cat__TotalCharges_581.7,8.493619246619744e-05
cat__TotalCharges_92.75,8.455252918218719e-05
cat__TotalCharges_19.8,8.349458941806023e-05
cat__TotalCharges_93.55,8.01181425122543e-05
cat__TotalCharges_85.5,7.92211335403163e-05
cat__TotalCharges_20.75,7.741526317638302e-05
cat__TotalCharges_60.65,7.348038892833101e-05
cat__TotalCharges_1493.2,6.42112204922743e-05
cat__TotalCharges_470.6,6.359548179888314e-05
cat__TotalCharges_467.15,6.027109650526898e-05
cat__TotalCharges_1025.15,5.701617708896877e-05
cat__TotalCharges_19.55,5.6043109694196426e-05
cat__TotalCharges_74.3,5.431163803160701e-05
cat__TotalCharges_340.35,5.399148160984363e-05
cat__TotalCharges_2640.55,4.789057281655463e-05
cat__TotalCharges_35.9,4.219685940914167e-05
cat__TotalCharges_564.35,3.8351412013860196e-05
cat__TotalCharges_113.5,3.78789349620756e-05
cat__TotalCharges_273.25,3.633541513327109e-05
cat__TotalCharges_19.75,3.536998824918116e-05
cat__TotalCharges_280.85,3.246150618219288e-05
cat__TotalCharges_20.25,3.0684358144060876e-05
cat__TotalCharges_3297,2.9090033712799517e-05
cat__TotalCharges_246.7,2.1757552672901058e-05
cat__TotalCharges_268.45,1.881909507225325e-05
cat__TotalCharges_202.3,1.574693322290092e-05
cat__TotalCharges_835.5,1.2940957318476444e-05
cat__TotalCharges_1782,8.900242565286951e-06
cat__TotalCharges_1183.05,8.490559300262843e-06
cat__TotalCharges_4858.7,7.836170807613558e-06
cat__TotalCharges_1672.35,5.6224338799680235e-06
cat__TotalCharges_1008.7,5.119780353372872e-06
cat__TotalCharges_5222.35,0.0
cat__TotalCharges_523.5,0.0
cat__TotalCharges_523.15,0.0
cat__TotalCharges_523.1,0.0
cat__TotalCharges_5229.8,0.0
cat__TotalCharges_5229.45,0.0
cat__TotalCharges_5224.95,0.0
cat__TotalCharges_5224.35,0.0
cat__TotalCharges_93.3,0.0
cat__TotalCharges_522.95,0.0
cat__TotalCharges_5219.65,0.0
cat__TotalCharges_5232.9,0.0
cat__TotalCharges_5215.1,0.0
cat__TotalCharges_521.9,0.0
cat__TotalCharges_521.35,0.0
cat__TotalCharges_521.3,0.0
cat__TotalCharges_5231.2,0.0
cat__TotalCharges_5236.4,0.0
cat__TotalCharges_5233.25,0.0
cat__TotalCharges_525,0.0
cat__TotalCharges_5265.1,0.0
cat__TotalCharges_5264.5,0.0
cat__TotalCharges_5264.3,0.0
cat__TotalCharges_5264.25,0.0
cat__TotalCharges_526.95,0.0
cat__TotalCharges_526.7,0.0
cat__TotalCharges_5253.95,0.0
cat__TotalCharges_5244.45,0.0
cat__TotalCharges_5234.95,0.0
cat__TotalCharges_5243.05,0.0
cat__TotalCharges_524.5,0.0
cat__TotalCharges_524.35,0.0
cat__TotalCharges_970.85,0.0
cat__TotalCharges_5237.4,0.0
cat__TotalCharges_973.1,0.0
cat__TotalCharges_5206.55,0.0
cat__TotalCharges_521.1,0.0
cat__TotalCharges_520,0.0
cat__TotalCharges_5200.8,0.0
cat__TotalCharges_5154.5,0.0
cat__TotalCharges_5150.55,0.0
cat__TotalCharges_515.75,0.0
cat__TotalCharges_515.45,0.0
cat__TotalCharges_5149.5,0.0
cat__TotalCharges_514.75,0.0
cat__TotalCharges_514,0.0
cat__TotalCharges_5135.15,0.0
cat__TotalCharges_5129.45,0.0
cat__TotalCharges_5129.3,0.0
cat__TotalCharges_5125.75,0.0
cat__TotalCharges_5125.5,0.0
cat__TotalCharges_5124.6,0.0
cat__TotalCharges_5124.55,0.0
cat__TotalCharges_5121.75,0.0
cat__TotalCharges_5121.3,0.0
cat__TotalCharges_5153.5,0.0
cat__TotalCharges_5154.6,0.0
cat__TotalCharges_520.55,0.0
cat__TotalCharges_516.15,0.0
cat__TotalCharges_5265.5,0.0
cat__TotalCharges_52,0.0
cat__TotalCharges_5196.1,0.0
cat__TotalCharges_5194.05,0.0
cat__TotalCharges_519.15,0.0
cat__TotalCharges_5189.75,0.0
cat__TotalCharges_5186,0.0
cat__TotalCharges_518.9,0.0
cat__TotalCharges_5175.3,0.0
cat__TotalCharges_973.25,0.0
cat__TotalCharges_5174.35,0.0
cat__TotalCharges_5168.1,0.0
cat__TotalCharges_5166.2,0.0
cat__TotalCharges_5163.3,0.0
cat__TotalCharges_516.3,0.0
cat__TotalCharges_5265.2,0.0
cat__TotalCharges_527.5,0.0
cat__TotalCharges_527.35,0.0
cat__TotalCharges_5357.75,0.0
cat__TotalCharges_5375.15,0.0
cat__TotalCharges_5373.1,0.0
